MEDDRA_LLT_CODE,MEDDRA_LLT,SNOMED_CT_CODE,SNOMED_CT_FSN
10001029,Acute pulmonary oedema,40541001,Acute pulmonary edema (disorder)
10001032,Acute pyelonephritis,36689008,Acute pyelonephritis (disorder)
10001041,Acute renal failure,14669001,Acute kidney injury (disorder)
10001051,"Acute renal failure, unspecified",14669001,Acute kidney injury (disorder)
10001052,Acute respiratory distress syndrome,67782005,Acute respiratory distress syndrome (disorder)
10001053,Acute respiratory failure,65710008,Acute respiratory failure (disorder)
10001055,Acute retention of urine,236648008,Acute retention of urine (disorder)
10001076,Acute sinusitis,15805002,Acute sinusitis (disorder)
10001090,Acute swimmers' ear,30250000,Acute otitis externa (disorder)
10001093,Acute tonsillitis,17741008,Acute tonsillitis (disorder)
10001099,Acute tubular necrosis,35455006,Acute tubular necrosis (disorder)
10001106,Acute urticaria,402408009,Acute urticaria (disorder)
10001118,ADD,406506008,Attention deficit hyperactivity disorder (disorder)
10001125,Addiction,32709003,Addiction (finding)
10001127,Addiction to drugs,1254812006,Substance dependence (disorder)
10001130,Addison's disease,363732003,Addison's disease (disorder)
10001141,Adenocarcinoma,443961001,Malignant adenomatous neoplasm (disorder)
10001150,Adenocarcinoma gastric,408647009,Adenocarcinoma of stomach (disorder)
10001160,Adenocarcinoma lung,254626006,Adenocarcinoma of lung (disorder)
10001165,Adenocarcinoma lung stage IV,424993006,"Adenocarcinoma of lung, stage IV (disorder)"
10001167,Adenocarcinoma of colon,1701000119104,Primary adenocarcinoma of colon (disorder)
10001172,Adenocarcinoma of colon stage IV,1701000119104,Primary adenocarcinoma of colon (disorder)
10001175,Adenocarcinoma of lung,254626006,Adenocarcinoma of lung (disorder)
10001186,Adenocarcinoma of prostate,399490008,Adenocarcinoma of prostate (disorder)
10001198,Adenocarcinoma of the prostate metastatic,1259672003,Primary adenocarcinoma of prostate (disorder)
10001230,Adenoidectomy,119954001,Adenoid excision (procedure)
10001231,Adenoma,443416007,Benign adenomatous neoplasm (disorder)
10001233,Adenoma benign,443416007,Benign adenomatous neoplasm (disorder)
10001256,Adenotonsillectomy,28913000,Tonsillectomy and adenoidectomy (procedure)
10001290,Adhesive plaster sensitivity,77560002,Contact dermatitis caused by adhesive plaster (disorder)
10001293,Adiposis,414916001,Obesity (disorder)
10001323,Adrenal adenoma,255036008,Adrenal adenoma (disorder)
10001367,Adrenal insufficiency,386584007,Adrenal cortical hypofunction (disorder)
10001374,Adrenal metastases,94161006,Metastatic malignant neoplasm to adrenal gland (disorder)
10001409,Adult respiratory distress syndrome,67782005,Acute respiratory distress syndrome (disorder)
10001413,Adult T-cell lymphoma/leukaemia,110007008,Adult T-cell leukemia/lymphoma (disorder)
10001425,Adynamia,13791008,Asthenia (finding)
10001435,Afebrile convulsion,91175000,Seizure (finding)
10001436,Afebrile seizure,91175000,Seizure (finding)
10001443,Affective disorder,46206005,Mood disorder (disorder)
10001450,Affective psychosis,441704009,Affective psychosis (disorder)
10001452,AFib,49436004,Atrial fibrillation (disorder)
10001480,Ageusia,36955009,Loss of taste (finding)
10001484,Aggravation of existing disorder,271299001,Patient's condition worsened (finding)
10001488,Aggression,61372001,Aggressive behavior (finding)
10001490,Aggressive behaviour,61372001,Aggressive behavior (finding)
10001494,Aggressiveness,61372001,Aggressive behavior (finding)
10001495,Agitated,24199005,Feeling agitated (finding)
10001496,Agitated depression,83458005,Agitated depression (disorder)
10001497,Agitation,24199005,Feeling agitated (finding)
10001502,Agoraphobia,70691001,Agoraphobia (disorder)
10001506,Agranulocytic angina,17182001,Agranulocytosis (disorder)
10001507,Agranulocytosis,17182001,Agranulocytosis (disorder)
10001509,AIDS,62479008,Acquired immune deficiency syndrome (disorder)
10001539,Airways obstruction,301252002,Finding of respiratory obstruction (finding)
10001540,Akathisia,285145004,Akathisia (disorder)
10001541,Akinesia,33994004,Akinesia (finding)
10001550,Alanine aminotransferase increase,409673008,Alanine aminotransferase above reference range (finding)
10001551,Alanine aminotransferase increased,409673008,Alanine aminotransferase above reference range (finding)
10001561,Albumin decreased,127355002,Albumin below reference range (finding)
10001584,Alcohol abuse,15167005,Harmful pattern of use of alcohol (disorder)
10001585,Alcohol abuse chronic,284591009,Persistent alcohol abuse (disorder)
10001590,Alcohol addiction,7200002,Alcoholism (disorder)
10001594,Alcohol dependence syndrome,66590003,Alcohol dependence (disorder)
10001597,Alcohol interaction,95906008,Drug interaction with alcohol (finding)
10001598,Alcohol intolerance,102612005,Alcohol intolerance (finding)
10001606,Alcohol problem,7200002,Alcoholism (disorder)
10001612,Alcoholic,228281002,Problem drinker (finding)
10001617,Alcoholic cirrhosis,420054005,Alcoholic cirrhosis (disorder)
10001618,Alcoholic cirrhosis of liver,420054005,Alcoholic cirrhosis (disorder)
10001627,Alcoholic liver disease,41309000,Alcoholic liver damage (disorder)
10001639,Alcoholism,7200002,Alcoholism (disorder)
10001675,Alkaline phosphatase increased,274770006,Alkaline phosphatase above reference range (finding)
10001705,Allergic asthma,389145006,Allergic asthma (disorder)
10001707,Allergic bronchopulmonary aspergillosis,37981002,Allergic bronchopulmonary aspergillosis (disorder)
10001709,Allergic conjunctivitis,473460002,Allergic conjunctivitis (disorder)
10001717,Allergic rash,21626009,Cutaneous hypersensitivity (disorder)
10001718,Allergic reaction,419076005,Allergic reaction (disorder)
10001719,Allergic reaction NOS,419076005,Allergic reaction (disorder)
10001720,Allergic reaction to antibiotics,15919781000119104,Allergic reaction caused by antibacterial agent (disorder)
10001721,Allergic reaction to bee sting,282095007,Allergic reaction caused by bee sting (disorder)
10001722,Allergic reaction to wasp sting,300909004,Allergic reaction caused by wasp sting (disorder)
10001723,Allergic rhinitis,61582004,Allergic rhinitis (disorder)
10001726,Allergic rhinitis due to pollen,21719001,Allergic rhinitis caused by pollen (disorder)
10001729,Allergic skin reaction,21626009,Cutaneous hypersensitivity (disorder)
10001731,Allergic to cats,1208807009,Allergy to Felis catus protein (finding)
10001732,Allergic to dogs,1208808004,Allergy to Canis lupus subspecies familiaris protein (finding)
10001734,Allergic urticaria,40178009,Allergic urticaria (disorder)
10001738,Allergy,609328004,Allergic disposition (finding)
10001740,Allergy multiple,161614004,History of multiple allergies (situation)
10001741,Allergy NOS,609328004,Allergic disposition (finding)
10001742,Allergy to animal,418448002,Allergic reaction caused by animal (disorder)
10001743,Allergy to animal dander,717234006,Allergy to animal protein (finding)
10001744,Allergy to animals,418448002,Allergic reaction caused by animal (disorder)
10001747,Allergy to insect sting,151201000119107,Allergy to insect venom (finding)
10001756,Allogenic bone marrow transplantation therapy,58390007,Allogeneic bone marrow transplantation (procedure)
10001757,Allograft of skin,19835001,Allograft of skin to skin (procedure)
10001760,Alopecia,56317004,Alopecia (disorder)
10001761,Alopecia areata,68225006,Alopecia areata (disorder)
10001771,ALP increased,274770006,Alkaline phosphatase above reference range (finding)
10001806,Alpha-1 anti-trypsin deficiency,30188007,Alpha-1-antitrypsin deficiency (disorder)
10001845,ALT increased,409673008,Alanine aminotransferase above reference range (finding)
10001850,Altered mood,48079002,Disturbance in mood (finding)
10001854,Altered state of consciousness,3006004,Disturbance of consciousness (finding)
10001892,Alveolitis fibrosing,196125002,Diffuse interstitial pulmonary fibrosis (disorder)
10001896,Alzheimer's disease,26929004,Alzheimer's disease (disorder)
10001927,Amenorrhea,14302001,Amenorrhea (finding)
10001928,Amenorrhoea,14302001,Amenorrhea (finding)
10001946,Ammonia increased,9360008,Hyperammonemia (disorder)
10001949,Amnesia,48167000,Amnesia (finding)
10002016,Amylase increased,275739007,Serum amylase above reference range (finding)
10002022,Amyloidosis,17602002,Amyloidosis (disorder)
10002026,Amyotrophic lateral sclerosis,86044005,Amyotrophic lateral sclerosis (disorder)
10002034,Anaemia,271737000,Anemia (disorder)
10002036,Anaemia aggravated,271737000,Anemia (disorder)
10002037,Anaemia aplastic,306058006,Aplastic anemia (disorder)
10002038,Anaemia aplastic aregenerative,306058006,Aplastic anemia (disorder)
10002045,Anaemia haemolytic,61261009,Hemolytic anemia (disorder)
10002046,Anaemia haemolytic autoimmune,413603009,Autoimmune hemolytic anemia (disorder)
10002062,Anaemia iron deficiency,87522002,Iron deficiency anemia (disorder)
10002071,Anaemia NOS,271737000,Anemia (disorder)
10002073,Anaemia of chronic disease,234347009,Anemia of chronic disorder (disorder)
10002076,Anaemia primaquine sensitivity,863953007,Primaquine sensitivity anemia (disorder)
10002082,"Anaemia, unspecified",271737000,Anemia (disorder)
10002088,Anaemic,271737000,Anemia (disorder)
10002091,Anaesthesia,33653009,Absence of sensation (finding)
10002095,Anaesthesia local,386761002,Local anesthesia (procedure)
10002153,Anal fissure,30037006,Anal fissure (disorder)
10002156,Anal fistula,786878009,Fistula of anus (disorder)
10002182,Analgesia,52685006,Administration of analgesic (procedure)
10002198,Anaphylactic reaction,39579001,Anaphylaxis (disorder)
10002199,Anaphylactic shock,735173007,Shock due to anaphylaxis (disorder)
10002200,Anaphylactic shock due to adverse food reaction,91941002,Food anaphylaxis (disorder)
10002201,Anaphylactic shock due to crustaceans,735173007,Shock due to anaphylaxis (disorder)
10002202,Anaphylactic shock due to eggs,735173007,Shock due to anaphylaxis (disorder)
10002203,Anaphylactic shock due to fish,735173007,Shock due to anaphylaxis (disorder)
10002204,Anaphylactic shock due to food additives,735173007,Shock due to anaphylaxis (disorder)
10002205,Anaphylactic shock due to fruits and vegetables,735173007,Shock due to anaphylaxis (disorder)
10002206,Anaphylactic shock due to milk products,735173007,Shock due to anaphylaxis (disorder)
10002208,Anaphylactic shock due to peanuts,735173007,Shock due to anaphylaxis (disorder)
10002210,Anaphylactic shock due to tree nuts and seeds,735173007,Shock due to anaphylaxis (disorder)
