RDM_NAME_NM,RDM_CODE_CD,MEDDRA_TERM,ACRONYM,ISACTIVE,CREATED_BY,CREATE_DATE_TS,UPDATED_BY,LAST_UPDATE_DATE_TS,SOURCE_SYSTEM
Osteoporosis-10031282,10031282,Osteoporosis,OST,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
ZZZ_OSTEOPOROSIS POSTMENOPAUSAL-10031285(Do Not Use),10031285,OSTEOPOROSIS POSTMENOPAUSAL,PMOST,No,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Otitis media acute-10033079,10033079,Otitis media acute,AOM,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Ovarian cancer-10033128,10033128,Ovarian cancer,KOV,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Pain-10033371,10033371,Pain,PAIN,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Pancreatic carcinoma-10033609,10033609,Pancreatic carcinoma,KPAN,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
ZZZ_Pancreatic disorder-10033616(Do Not Use),10033616,Pancreatic disorder,PANCD,No,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Panic attack-10033664,10033664,Panic attack,PA,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Paroxysmal nocturnal haemoglobinuria-10034042,10034042,Paroxysmal nocturnal haemoglobinuria,PARNOCHEMO,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Pemphigoid-10034277,10034277,Pemphigoid,BP,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Pemphigus-10034280,10034280,Pemphigus,PEMV,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
ZZZ_Peptic ulcer-10034341(Do Not Use),10034341,Peptic ulcer,PU,No,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Peripheral ischaemia-10034576,10034576,Peripheral ischaemia,CLI,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
