ICD10_CHAPTER_NUMBER_2019_INTL_CORE_VER,ICD10_CHAPTER_2019_INTL_CORE_VER,ICD10_CODE_2019_INTL_CORE_VER,ICD10_TERM_2019_INTL_CORE_VER,MAPPED_MEDDRA_LLT,MAPPED_MEDDRA_LLT_CODE,MAP_ATTRIBUTE,MEDDRA_PT,MEDDRA_PT_CODE,MEDDRA_VER
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q23.8,Other congenital malformations of aortic and mitral valves,Congenital heart valve disorder,10064086,Loss of Information,Congenital heart valve disorder,10064086,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q23.9,"Congenital malformation of aortic and mitral valves, unspecified",Congenital heart valve disorder,10064086,Loss of Information,Congenital heart valve disorder,10064086,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q24,Other congenital malformations of heart,Heart malformation,10019293,Equivalent,Heart disease congenital,10019273,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q24.0,Dextrocardia,Dextrocardia,10012592,Equivalent,Dextrocardia,10012592,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q24.1,Laevocardia,Laevocardia,10071015,Equivalent,Laevocardia,10071015,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q24.2,Cor triatriatum,Cor triatriatum,10010972,Equivalent,Cor triatriatum,10010972,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q24.3,Pulmonary infundibular stenosis,"Infundibular pulmonic stenosis, congenital",10022012,Equivalent,Pulmonary artery stenosis congenital,10037339,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q24.4,Congenital subaortic stenosis,"Subaortic stenosis, congenital",10042299,Equivalent,Hypertrophic cardiomyopathy,10020871,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q24.5,Malformation of coronary vessels,Congenital cardiovascular anomaly,10061054,Equivalent,Congenital cardiovascular anomaly,10061054,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q24.6,Congenital heart block,Congenital heart block,10010494,Equivalent,Heart block congenital,10019263,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q24.8,Other specified congenital malformations of heart,Heart malformation,10019293,Equivalent,Heart disease congenital,10019273,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q24.9,"Congenital malformation of heart, unspecified",Heart malformation,10019293,Equivalent,Heart disease congenital,10019273,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q25,Congenital malformations of great arteries,Congenital great vessel anomaly,10061080,Equivalent,Congenital great vessel anomaly,10061080,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q25.0,Patent ductus arteriosus,Patent ductus arteriosus,10034130,Equivalent,Patent ductus arteriosus,10034130,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q25.1,Coarctation of aorta,Coarctation of aorta,10009805,Equivalent,Coarctation of the aorta,10009807,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q25.2,Atresia of aorta,Congenital aortic atresia,10010368,Equivalent,Congenital aortic atresia,10010368,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q25.3,Stenosis of aorta,Congenital aortic stenosis,10010369,Equivalent,Congenital aortic stenosis,10010369,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q25.4,Other congenital malformations of aorta,Congenital aortic anomaly,10061052,Equivalent,Congenital aortic anomaly,10061052,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q25.5,Atresia of pulmonary artery,Pulmonary artery atresia,10037337,Equivalent,Pulmonary artery atresia,10037337,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q25.6,Stenosis of pulmonary artery,Congenital pulmonary artery stenosis,10010599,Equivalent,Pulmonary artery stenosis congenital,10037339,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q25.7,Other congenital malformations of pulmonary artery,Congenital pulmonary artery anomaly,10061074,Equivalent,Congenital pulmonary artery anomaly,10061074,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q25.8,Other congenital malformations of great arteries,Congenital great vessel anomaly,10061080,Equivalent,Congenital great vessel anomaly,10061080,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q25.9,"Congenital malformation of great arteries, unspecified",Congenital great vessel anomaly,10061080,Equivalent,Congenital great vessel anomaly,10061080,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q26,Congenital malformations of great veins,Congenital great vessel anomaly,10061080,Loss of Information,Congenital great vessel anomaly,10061080,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q26.0,Congenital stenosis of vena cava,Congenital vena cava stenosis,10087154,Equivalent,Congenital vena cava stenosis,10087154,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q26.1,Persistent left superior vena cava,Persistent left superior vena cava,10064193,Equivalent,Persistent left superior vena cava,10064193,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q26.2,Total anomalous pulmonary venous connection,Total anomalous pulmonary venous connection,10044081,Equivalent,Anomalous pulmonary venous connection,10058079,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q26.3,Partial anomalous pulmonary venous connection,Partial anomalous pulmonary venous connection,10034056,Equivalent,Anomalous pulmonary venous connection,10058079,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q26.4,"Anomalous pulmonary venous connection, unspecified",Anomalous pulmonary venous connection,10058079,Equivalent,Anomalous pulmonary venous connection,10058079,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q26.5,Anomalous portal venous connection,Portal venous system anomaly,10076609,Equivalent,Portal venous system anomaly,10076609,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q26.6,Portal vein-hepatic artery fistula,Congenital arteriovenous fistula,10010374,Loss of Information,Congenital arteriovenous fistula,10010374,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q26.8,Other congenital malformations of great veins,Congenital great vessel anomaly,10061080,Loss of Information,Congenital great vessel anomaly,10061080,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q26.9,"Congenital malformation of great vein, unspecified",Congenital great vessel anomaly,10061080,Loss of Information,Congenital great vessel anomaly,10061080,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q27,Other congenital malformations of peripheral vascular system,Vascular malformation peripheral,10047090,Equivalent,Vascular malformation,10074979,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q27.0,Congenital absence and hypoplasia of umbilical artery,Umbilical artery hypoplasia,10045445,Equivalent,Umbilical artery hypoplasia,10045445,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q27.1,Congenital renal artery stenosis,Renal vessel congenital anomaly,10038552,Loss of Information,Renal vessel congenital anomaly,10038552,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q27.2,Other congenital malformations of renal artery,Renal vessel congenital anomaly,10038552,Loss of Information,Renal vessel congenital anomaly,10038552,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q27.3,Peripheral arteriovenous malformation,Arteriovenous malformation,10003193,Loss of Information,Arteriovenous malformation,10003193,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q27.4,Congenital phlebectasia,Malformation venous,10025532,Loss of Information,Malformation venous,10025532,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q27.8,Other specified congenital malformations of peripheral vascular system,Vascular malformation peripheral,10047090,Equivalent,Vascular malformation,10074979,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q27.9,"Congenital malformation of peripheral vascular system, unspecified",Vascular malformation peripheral,10047090,Equivalent,Vascular malformation,10074979,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q28,Other congenital malformations of circulatory system,Congenital cardiovascular anomaly,10061054,Equivalent,Congenital cardiovascular anomaly,10061054,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q28.0,Arteriovenous malformation of precerebral vessels,Arteriovenous malformation,10003193,Loss of Information,Arteriovenous malformation,10003193,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q28.1,Other malformations of precerebral vessels,Vascular malformation,10074979,Loss of Information,Vascular malformation,10074979,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q28.2,Arteriovenous malformation of cerebral vessels,Cerebrovascular arteriovenous malformation,10056371,Equivalent,Cerebrovascular arteriovenous malformation,10056371,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q28.3,Other malformations of cerebral vessels,Vascular malformation cerebral,10047089,Equivalent,Congenital cerebrovascular anomaly,10062327,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q28.8,Other specified congenital malformations of circulatory system,Vascular malformation,10074979,Equivalent,Vascular malformation,10074979,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q28.9,"Congenital malformation of circulatory system, unspecified",Vascular malformation,10074979,Equivalent,Vascular malformation,10074979,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q30,Congenital malformations of nose,Congenital nose malformation,10062347,Equivalent,Congenital nose malformation,10062347,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q30.0,Choanal atresia,Choanal atresia,10008587,Equivalent,Choanal atresia,10008587,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q30.1,Agenesis and underdevelopment of nose,Hypoplastic nasal cartilage,10074970,Equivalent,Hypoplastic nasal cartilage,10074970,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q30.2,"Fissured, notched and cleft nose",Congenital nose malformation,10062347,Loss of Information,Congenital nose malformation,10062347,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q30.3,Congenital perforated nasal septum,Congenital perforated nasal septum,10010588,Equivalent,Congenital perforated nasal septum,10010588,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q30.8,Other congenital malformations of nose,Congenital nose malformation,10062347,Equivalent,Congenital nose malformation,10062347,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q30.9,"Congenital malformation of nose, unspecified",Congenital nose malformation,10062347,Equivalent,Congenital nose malformation,10062347,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q31,Congenital malformations of larynx,Congenital laryngeal malformation,10087152,Equivalent,Congenital laryngeal malformation,10087152,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q31.0,Web of larynx,Web of larynx,10047873,Equivalent,Laryngeal web,10023871,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q31.1,Congenital subglottic stenosis,Congenital subglottic stenosis,10087149,Equivalent,Congenital subglottic stenosis,10087149,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q31.2,Laryngeal hypoplasia,Respiratory tract malformation,10038733,Loss of Information,Respiratory tract malformation,10038733,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q31.3,Laryngocele,Laryngocele,10023885,Equivalent,Laryngocele,10023885,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q31.5,Congenital laryngomalacia,Laryngomalacia,10060786,Equivalent,Laryngomalacia,10060786,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q31.8,Other congenital malformations of larynx,Congenital laryngeal malformation,10087152,Equivalent,Congenital laryngeal malformation,10087152,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q31.9,"Congenital malformation of larynx, unspecified",Congenital laryngeal malformation,10087152,Equivalent,Congenital laryngeal malformation,10087152,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q32,Congenital malformations of trachea and bronchus,Respiratory tract malformation,10038733,Loss of Information,Respiratory tract malformation,10038733,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q32.0,Congenital tracheomalacia,Congenital tracheomalacia,10010654,Equivalent,Congenital tracheomalacia,10010654,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q32.1,Other congenital malformations of trachea,Respiratory tract malformation,10038733,Loss of Information,Respiratory tract malformation,10038733,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q32.2,Congenital bronchomalacia,Congenital bronchomalacia,10010392,Equivalent,Congenital bronchomalacia,10010392,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q32.3,Congenital stenosis of bronchus,Respiratory tract malformation,10038733,Loss of Information,Respiratory tract malformation,10038733,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q32.4,Other congenital malformations of bronchus,Respiratory tract malformation,10038733,Loss of Information,Respiratory tract malformation,10038733,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q33,Congenital malformations of lung,Pulmonary malformation,10037419,Equivalent,Pulmonary malformation,10037419,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q33.0,Congenital cystic lung,Congenital cystic lung,10010429,Equivalent,Congenital pulmonary airway malformation,10087693,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q33.1,Accessory lobe of lung,Azygos lobe,10069490,Equivalent,Azygos lobe,10069490,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q33.2,Sequestration of lung,Pulmonary sequestration,10059160,Equivalent,Pulmonary sequestration,10059160,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q33.3,Agenesis of lung,Pulmonary agenesis,10037312,Equivalent,Pulmonary aplasia,10037322,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q33.4,Congenital bronchiectasis,Congenital bronchiectasis,10010391,Equivalent,Congenital bronchiectasis,10010391,v28.0
