PROJECT_CODE,PROJECT_CATEGORY,PROJECT_ORGANIZATION,PROJECT_NAME,PROJECT_DESCRIPTION,PROJECT_STATUS,PROJECT_PHASE,PROJECT_PRIORITY,PROJECT_INNOVATION_STATUS,PROJECT_RESEARCH_DEVELOPMENT_LINK,PROJECT_SANOFI_THERAPEUTIC_AREA,ASSET_INN,ASSET_BRAND_NAME,ASSET_MECHANISM_OF_ACTION,ASSET_MOA_SHORT_NAME,ASSET_ACTIVE_SUBSTANCE_TYPE,ASSET_ACTIVE_SUBSTANCE_SUBTYPE,ASSET_ORIGIN_OF_ACTIVE_SUBSTANCE,ASSET_PHARMACOLOGICAL_EFFECT,INDICATION_UNIQUE_CODE,INDICATION_LEAD_FLAG,INDICATION_LONGNAME,INDICATION_SHORTNAME,INDICATION_PHASE,INDICATION_CODE_MEDDRA,INDICATION_NAME_MEDDRA,INDICATION_STATUS,INDICATION_SANOFI_THERAPEUTIC_AREA,INDICATION_SANOFI_SUB_THERAPEUTIC_AREA_FRANCHISE,INDICATION_PTRS
LC81357,Research,PHARMA,SCN9A/SCN10A RNAi AAV (LC81357),LC81357 - SCN9A/SCN10A RNAi AAV,Ongoing,M1-M2,High Priority,FiC,,,,,SCN9A/SCN10A RNAi AAV,SCN9A/10A RNAi AAV,Biologics,AAV GT,Internal,Reduction,LC81357_IND001,TRUE,Neuropathic Pain,Neuropathic Pain,,10029223,Neuralgia,Ongoing,Neurology,Neurodegenerative diseases,
SAR447816,Development,PHARMA,uliledlimab,SAR447816 - CD73 mAb,Ongoing,Phase 2,GATE,BiC,,,uliledlimab,,CD73 mAb,CD73,Biologics,ANT,Licensed,Antagonism,SAR447816_IND001,FALSE,1L NSCLC - Combo anti-PD-1,1L NSCLC w/PD1,Phase 2,10061873,Non-small cell lung cancer,Stopped,Oncology,Lung Cancer,
LC81657,Research,PHARMA,CD98 x Synuclein mAb (LC81657),LC81657 - CD98 x Synuclein mAb,Ongoing,M0-M1,Regular Priority,BiC,,,,,CD98 x Synuclein mAb,CD98xSNCA,Biologics,ANT,Licensed,Neutralizing,LC81657_IND002,,Synucleinopathy,Synucleinopathy,,10053643,Neurodegenerative disorder,Ongoing,,,
GZ393590,Development,PHARMA,Clolar/Evoltra,GZ393590 - Purine nucleoside analog,Completed,LCM,Standard,LCM project,,,clofarabine,Clolar/Evoltra,Purine nucleoside analog,Purine nucleoside,Synthetic,SM,Acquired,Mimetism,GZ393590_IND003,FALSE,NHL - PO route,,,10029547,Non-Hodgkin's lymphoma,Stopped,Oncology,,
LC10163,Research,PHARMA,SOX sm (LC10163),LC10163 - SOX sm,Completed,M1-M2,Regular Priority,FiC,SAR447225,SAR447225,,,SOX sm,SOX,Synthetic,SM,Internal,Induction,LC10163_IND002,,Osteoarthritis,OA,,10031161,Osteoarthritis,Completed,,,
LC81655,Research,PHARMA,CD98 x GLP1R mAb (LC81655),LC81655 - CD98 x GLP1R mAb,Ongoing,M1-M2,Regular Priority,BiC,,,,,CD98 x GLP1R mAb,CD98xGLP1R,Biologics,ANT,Internal,Agonism,LC81655_IND002,,Alzheimer's Disease,Alzheimer,,10001896,Alzheimer's disease,Ongoing,,,
LC81672,Research,PHARMA,IFNAR1 x OX40L Nanobody VHH (LC81672),LC81672 - IFNAR1 x OX40L Nanobody VHH,Ongoing,M0-M1,Regular Priority,FiC,,,,,IFNAR1 x OX40L Nanobody VHH,IFNAR1xOX40L,Biologics,NBDY,Internal,Antagonism,LC81672_IND001,TRUE,Systemic Lupus Erythematosus,SLE,,10042945,Systemic lupus erythematosus,Ongoing,Immuno-inflammation,Rheumatology,
SAR440340,Development,PHARMA,itepekimab,SAR440340 - IL33 mAb,Ongoing,Phase 3,Medium,FiC,,,itepekimab,,IL33 mAb,IL33,Biologics,ANT,Licensed,Antagonism,SAR440340_IND007,FALSE,Chronic Rhinosinusitis without Nasal Polyps,CRSsNP,Phase 2,10084742,Chronic rhinosinusitis without nasal polyps,Ongoing,Immuno-inflammation,Respiratory,0.31
SAR440340,Development,PHARMA,itepekimab,SAR440340 - IL33 mAb,Ongoing,Phase 3,Medium,FiC,,,itepekimab,,IL33 mAb,IL33,Biologics,ANT,Licensed,Antagonism,SAR440340_IND005,TRUE,Chronic Rhinosinusitis with Nasal Polyps,CRSwNP,Phase 3,10080060,Chronic rhinosinusitis with nasal polyps,Ongoing,Immuno-inflammation,Respiratory,0.43
LC81414,Research,PHARMA,IL10R Nanobody VHH (LC81414),LC81414 - IL10R Nanobody VHH,Ongoing,M0-M1,Regular Priority,FiC,,,,,IL10R Nanobody VHH,IL10R VHH,Biologics,NBDY,Licensed,Agonism,LC81414_IND001,TRUE,Inflammatory Bowel Disease,IBD,,10021972,Inflammatory bowel disease,Ongoing,Immuno-inflammation,Gastroenterology,
GZ402671,Development,PHARMA,venglustat,GZ402671 - GCS sm - 2nd generation,Ongoing,Phase 3,Standard,FiC,,,venglustat,,GCS sm - 2nd generation,GCS 2nd gen,Synthetic,SM,Acquired,Inhibition,GZ402671_IND004,TRUE,Gaucher Disease Type 3 - Mono - Adult & Ped - 12-17 years,GD3 Mono - Adult & 12-17y,Phase 3,10018048,Gaucher's disease,Ongoing,Rare Diseases,Metabolic Disorders,0.54
LC81425,Research,PHARMA,TL1A x OX40L mAb (LC81425),LC81425 - TL1A x OX40L mAb,Ongoing,M0-M1,Regular Priority,FiC,,,,,TL1A x OX40L mAb,TL1AxOX40L,Biologics,ANT,Internal,Antagonism,LC81425_IND005,,Systemic Lupus Erythematosus,SLE,,10042945,Systemic lupus erythematosus,Ongoing,,,
SAR448940,Development,PHARMA,elenestinib,SAR448940 - KIT D816V sm - Next Generation,Ongoing,Phase 3,Medium,BiC,,,elenestinib,,KIT D816V sm - Next Generation,KIT D816V Next Gen,Synthetic,SM,Acquired,Inhibition,SAR448940_IND001,TRUE,Indolent Systemic Mastocytosis,IndoSM,Phase 3,10056452,Indolent systemic mastocytosis,Ongoing,Rare Diseases,Immune Mediated Blood Disorders,0.7
SAR236553,Development,PHARMA,Praluent,SAR236553 - Anti-PCSK-9 mAb,Completed,LCM,Standard,LCM project,,,alirocumab,Praluent,Anti-PCSK-9 mAb,PCSK9,Biologics,ANT,Licensed,Binding,SAR236553_IND006,FALSE,LDL-C reduction - Q4W - Japan,,LCM,10020603,Hypercholesterolaemia,Completed,DCVM,,1
SAR442970,Development,PHARMA,brivekimig,SAR442970 - TNFa x OX40L Nanobody VHH,Ongoing,Phase 2B,GATE,FiC,XC01135,XC01135,brivekimig,,TNFa x OX40L Nanobody VHH,TNFa xOX40L,Biologics,NBDY,Internal,Blocking,SAR442970_IND003,FALSE,Ulcerative Colitis,UC,Phase 2,10009900,Colitis ulcerative,Ongoing,Immuno-inflammation,Gastroenterology,0.21
SAR445761,Development,PHARMA,Rezurock ,SAR445761 - ROCK2 sm,Ongoing,LCM,Standard,FiC,,,belumosudil,Rezurock ,ROCK2 sm,ROCK2,Synthetic,SM,Acquired,Inhibition,SAR445761_IND003,FALSE,1L Chronic Graft versus Host Disease,1L cGvHD,Phase 3,10018651,Graft versus host disease,Stopped,Transplant,Transplant (Hemato),0.44
LC81669,Research,PHARMA,CD2 x PD1 Nanobody VHH (LC81669),LC81669 - CD2 x PD1 Nanobody VHH,Ongoing,M0-M1,Regular Priority,FiC,,,,,CD2 x PD1 Nanobody VHH,CD2xPD1,Biologics,NBDY,Internal,Agonism,LC81669_IND001,TRUE,Transplantation,Transplant,,10057677,Transplant,Ongoing,Transplant,Transplant (Solid Organs),
GZ419829,Development,PHARMA,Myozyme/Lumizyme,GZ419829 - Acid alfa glucosidase,Completed,LCM,Standard,LCM project,,,alglucosidase alfa,Myozyme/Lumizyme,Acid alfa glucosidase,GAA (Myozyme),Biologics,REC,Acquired,Enzyme replacement therapy,GZ419829_IND001,TRUE,Pompe Disease,Pompe,LCM,10053185,Glycogen storage disease type II,Completed,Rare Diseases,,1
LC81368,Research,PHARMA,B7H3 x NKp46 x CD16 x IL2v mAb (NKCE)  (LC81368),LC81368 - B7H3 x NKp46 x CD16 x IL2v mAb (NKCE) ,Ongoing,M1-M2,Regular Priority,BiC,,,,,B7H3 x NKp46 x CD16 x IL2v mAb (NKCE) ,B7H3 NKCE,Biologics,ANT,Licensed,Cytotoxicity,LC81368_IND001,TRUE,B7H3+ Solid Tumors,B7H3+ Solid Tumors,,10065252,Solid tumor,Ongoing,Oncology,Other Solid Tumors,
SP0038,Development,VACCINE,PR5I,PR5I,Completed,Post-Launch,,Little / Uncertain differentiation,,,,Vaxelis,Active immunization,,Biologics,VAC,Licensed,,SP0038_IND001,TRUE,Indication for New Vaccine Indication Template,,,10021430,Immunisation,Completed,Vaccines,PPH,
LC80014,Research,PHARMA,PIP5K2B sm (LC80014),LC80014 - PIP5K2B sm,Ongoing,M1-M2,Regular Priority,FiC,,,,,PIP5K2B sm,PIP5K2B,Synthetic,SM,Internal,Inhibition,LC80014_IND003,,Chronic obstructive pulmonary disease,Crohn,,10009033,Chronic obstructive pulmonary disease,Ongoing,,,
SP0178,Development,VACCINE,Fluzone HD / Efluelda,Influenza inactivated vaccine High Dose,Ongoing,Post-Launch,Medium,FiC,,,,Fluzone / Efluelda,Active immunization,,Biologics,IAV,Internal,,SP0178_IND002,FALSE,Japan - Flu QIV/TIV HD,JP,Post-Licence,10022000,Influenza,Completed,Vaccines,FLU,1
XRP6976,Development,PHARMA,Taxotere,XRP6976 - Tubulin  inh.,Completed,LCM,Standard,LCM project,,,docetaxel,Taxotere,Tubulin  inh.,Tubulin,Synthetic,SM,Licensed,Inhibition,XRP6976_IND010,FALSE,Maximum Dose Unification - Japan,,LCM,10065252,Solid tumor,Completed,Oncology,,
SAR650984,Development,PHARMA,Sarclisa,SAR650984 - CD38 mAb,Ongoing,LCM,Medium,BiC,,,isatuximab,Sarclisa,CD38 mAb,CD38,Biologics,ANT,Licensed,Binding,SAR650984_IND027,FALSE,RRMM - Combo Cemiplimab,RRMM w/Cemip,,10028228,Multiple myeloma,Stopped,Oncology,,
SAR447189,Development,PHARMA,duvakitug,SAR447189 - TL1A mAb,Ongoing,Phase 3,Medium,BiC,,,duvakitug,,TL1A mAb,TL1A,Biologics,ANT,Licensed,Blocking,SAR447189_IND001,TRUE,Ulcerative Colitis,UC,Phase 3,10009900,Colitis ulcerative,Ongoing,Immuno-inflammation,Gastroenterology,0.74
SAR448972,Development,PHARMA,Ayvakit,SAR448972 - KIT D816V sm,Ongoing,LCM,Standard,FiC,,,avapritinib,Ayvakit,KIT D816V sm,KIT D816V sm,Synthetic,SM,Acquired,Inhibition,SAR448972_IND002,FALSE,Advanced Systemic Mastocytosis,AdvSM,LCM,10089805,Advanced systemic mastocytosis,Completed,Rare Diseases,Immune Mediated Blood Disorders,1
SP0341,Development,VACCINE,RSV+hMPV+PIV3 Subunit,Respiratory syncytial virus + human metapneumovirus + parainfluenza virus 3 Subunit vaccine,Ongoing,Phase 1,Not Defined,BiC,,,,,Active immunization,,Biologics,SUBUV,Acquired,,SP0341_IND001,TRUE,RSV+hMPV+PIV3 disease,RSV+hMPV+PIV3 disease,Phase 1,10061603,Respiratory syncytial virus infection,Ongoing,Vaccines,RSV,0.26
SAR444671,Development,PHARMA,Wayrilz,SAR444671 - BTK sm,Ongoing,LCM,Medium,FiC,,,rilzabrutinib,Wayrilz,BTK sm,BTK,Synthetic,SM,Acquired,Inhibition,SAR444671_IND012,FALSE,Prurigo Nodularis - Adult & Ped - 12 - 17 years,PN - Adult & Ped 12-17y,Initiation,10037084,Prurigo nodularis,Ongoing,Immuno-inflammation,Dermatology,0.21
HMR1726,Development,PHARMA,Aubagio,HMR1726 - DHO-DH sm,Completed,LCM,Standard,LCM project,,,teriflunomide,Aubagio,DHO-DH sm,DHO-DH,Synthetic,SM,Internal,Inhibition,HMR1726_IND002,TRUE,Multiple Sclerosis - Ped,MS - Ped,LCM,10028245,Multiple sclerosis,Completed,Neurology,Neuro-inflammation,1
SAR650984,Development,PHARMA,Sarclisa,SAR650984 - CD38 mAb,Ongoing,LCM,Medium,BiC,,,isatuximab,Sarclisa,CD38 mAb,CD38,Biologics,ANT,Licensed,Binding,SAR650984_IND012,FALSE,P3F2 IV Formulation Process Update,,Phase 1,10028228,Multiple myeloma,Stopped,Oncology,,
LC81652,Research,PHARMA,aC1s x Factor Bb x VEGF Hybrid (LC81652),LC81652 - aC1s x Factor Bb x VEGF Hybrid,Ongoing,M0-M1,High Priority,FiC,,,,,aC1s x Factor Bb x VEGF Hybrid,aC1s x Bb x VEGF Hybrid,Biologics,HYB,Internal,Inhibition,LC81652_IND002,,Age-related macular degeneration - Neovascular,AMD - Neovascular,,10075568,Wet age-related macular degeneration,Ongoing,,,
AVE0010-1,Development,PHARMA,Soliqua,AVE0010-1 - Combo GLP1R peptide - Insulin Glargine,Completed,LCM,Standard,Little / Uncertain differentiation,,,Insulin Glargine/Lixisenatide,Soliqua,Combo GLP1R peptide - Insulin Glargine,GLP1R x Insulin glargine,Synthetic,PEP,Licensed,Agonism,AVE0010-1_IND006,FALSE,Lixilan - T2DM - Lantus Combo - FixFlex - SC Route,,Phase 1,10067585,Type 2 diabetes mellitus,Stopped,DCVM,,
SAR444671,Development,PHARMA,Wayrilz,SAR444671 - BTK sm,Ongoing,LCM,Medium,FiC,,,rilzabrutinib,Wayrilz,BTK sm,BTK,Synthetic,SM,Acquired,Inhibition,SAR444671_IND001,FALSE,Pemphigus Vulgaris,PV,Phase 3,10034280,Pemphigus,Stopped,Immuno-inflammation,,
GZ402671,Development,PHARMA,venglustat,GZ402671 - GCS sm - 2nd generation,Ongoing,Phase 3,Standard,FiC,,,venglustat,,GCS sm - 2nd generation,GCS 2nd gen,Synthetic,SM,Acquired,Inhibition,GZ402671_IND009,FALSE,Fabry Disease - Combo,,,10016016,Fabry's disease,Stopped,Rare Diseases,,
LC81390,Research,PHARMA,PIM1 sm - AI-driven (LC81390),LC81390 - PIM1 sm - AI-driven,Ongoing,M0-M1,High Priority,FiC,,,,,PIM1 sm - AI-driven,PIM1 AI-driven,Synthetic,SM,Internal,Inhibition,LC81390_IND004,,Psoriasis,Psoriasis,,10037153,Psoriasis,Ongoing,,,
LC81416,Research,PHARMA,CD70 x CD3gd mAb (TCE) (LC81416),LC81416 - CD70 x CD3gd mAb (TCE),Ongoing,M0-M1,High Priority,FiC,,,,,CD70 x CD3gd mAb (TCE),CD70 x CD3gd TCE,Biologics,ANT,Internal,Cytotoxicity,LC81416_IND001,TRUE,Acute Myeloid Leukemia,AML,,10000880,Acute myeloid leukaemia,Ongoing,Oncology,Other Heme Malignancies,
LC81651,Research,PHARMA,STAT6 sm - non-SH2 (LC81651),LC81651 - STAT6 sm - non-SH2,Ongoing,M1-M2,High Priority,BiC,,,,,STAT6 sm - non-SH2,STAT6 - non-SH2,Synthetic,SM,Licensed,Inhibition,LC81651_IND002,,Asthma,Asthma,,10003553,Asthma,Ongoing,,,
LC81644,Research,PHARMA,OX40L x NKG2D Nanobody VHH (LC81644),LC81644 - OX40L x NKG2D Nanobody VHH,Ongoing,M1-M2,Regular Priority,FiC,,,,,OX40L x NKG2D Nanobody VHH,OX40LxNKG2D,Biologics,NBDY,Internal,Blocking,LC81644_IND005,,Inflammatory Bowel Disease,IBD,,10021972,Inflammatory bowel disease,Ongoing,,,
XC01159,Research,PHARMA,IL17A sm (XC01159),XC01159 - IL17A sm,Completed,M1-M2,High Priority,BiC,SAR447432,SAR447432,,,IL17A sm,IL17A,Synthetic,SM,Licensed,Antagonism,XC01159_IND004,,Ankylosing Spondylitis,AS,,10002556,Ankylosing spondylitis,Completed,,,
LC81254,Research,PHARMA,TFRC x GAA fusion protein (LC81254),LC81254 - TFRC x GAA fusion protein,Completed,M1-M2,High Priority,FiC,SAR446290,SAR446290,,,TFRC x GAA fusion protein,TFRCxGAA,Biologics,ANT,Internal,Enzyme replacement therapy,LC81254_IND001,TRUE,Discovery,,,10053185,Glycogen storage disease type II,Completed,Rare Disease Research,,
GZ402671,Development,PHARMA,venglustat,GZ402671 - GCS sm - 2nd generation,Ongoing,Phase 3,Standard,FiC,,,venglustat,,GCS sm - 2nd generation,GCS 2nd gen,Synthetic,SM,Acquired,Inhibition,GZ402671_IND001,FALSE,Autosomal Dominant Polycystic Kidney Disease,ADPKD,Phase 3,10036046,"Polycystic kidney, autosomal dominant",Stopped,Rare Diseases,,
LC81644,Research,PHARMA,OX40L x NKG2D Nanobody VHH (LC81644),LC81644 - OX40L x NKG2D Nanobody VHH,Ongoing,M1-M2,Regular Priority,FiC,,,,,OX40L x NKG2D Nanobody VHH,OX40LxNKG2D,Biologics,NBDY,Internal,Blocking,LC81644_IND002,,Vitiligo,Vitiligo,,10047642,Vitiligo,Ongoing,,,
LC81267,Research,PHARMA,TIGIT mAb (LC81267),LC81267 - TIGIT mAb,Ongoing,M1-M2,Regular Priority,FiC,,,,,TIGIT mAb,TIGIT mAb,Biologics,ANT,Internal,Agonism,LC81267_IND001,TRUE,Inflammatory Bowel Disease,IBD,,10021972,Inflammatory bowel disease,Ongoing,Immuno-inflammation,Gastroenterology,
LC81354,Research,PHARMA,STAT6 sm (LC81354),LC81354 - STAT6 sm,Ongoing,M1-M2,High Priority,FiC,,,,,STAT6 sm,STAT6,Synthetic,SM,Internal,Inhibition,LC81354_IND003,,Chronic Rhinosinusitis with Nasal Polyps,CRSwNP,,10080060,Chronic rhinosinusitis with nasal polyps,Ongoing,,,
SAR445229,Development,PHARMA,amlitelimab,SAR445229 - OX40L mAb,Ongoing,Phase 3,High,BiC,,,amlitelimab,,OX40L mAb,OX40L,Biologics,ANT,Acquired,Blocking,SAR445229_IND002,FALSE,Asthma,Asthma,Phase 2,10003553,Asthma,Stopped,Immuno-inflammation,Respiratory,0.14
SAR153191,Development,PHARMA,Kevzara,SAR153191 - IL6R mAb,Ongoing,LCM,Standard,Little / Uncertain differentiation,,,sarilumab,Kevzara,IL6R mAb,IL6R,Biologics,ANT,Licensed,Inhibition,SAR153191_IND004,FALSE,Rheumatoid Arthritis  US PreFilled Syringe (E-PFS),RA - E-PFS - US,LCM,10039073,Rheumatoid arthritis,Completed,Immuno-inflammation,,1
SAR439684,Development,PHARMA,Libtayo,SAR439684 - PD1 mAb,Completed,LCM,Standard,Little / Uncertain differentiation,,,cemiplimab,Libtayo,PD1 mAb,PD1,Biologics,ANT,Licensed,Inhibition,SAR439684_IND003,FALSE,2L BCC,2L BCC,LCM,10004146,Basal cell carcinoma,Completed,Oncology,,1
SAR650984,Development,PHARMA,Sarclisa,SAR650984 - CD38 mAb,Ongoing,LCM,Medium,BiC,,,isatuximab,Sarclisa,CD38 mAb,CD38,Biologics,ANT,Licensed,Binding,SAR650984_IND018,FALSE,Solid Tumors - Combo Cemiplimab,Solid Tumors w/Cemip,,10065252,Solid tumor,Stopped,Oncology,,
LC81095,Research,PHARMA,TNFa sm - Backup (LC81095),LC81095 - TNFa sm - Backup,Ongoing,M1-M2,Regular Priority,BiC,SAR441566,SAR441566,,,TNFa sm - Backup,TNFa sm BU,Synthetic,SM,Internal,Inhibition,LC81095_IND005,FALSE,MS2 -Pentacyclics - Stopped,,,,,Stopped,Immuno-inflammation,,
GZ393590,Development,PHARMA,Clolar/Evoltra,GZ393590 - Purine nucleoside analog,Completed,LCM,Standard,LCM project,,,clofarabine,Clolar/Evoltra,Purine nucleoside analog,Purine nucleoside,Synthetic,SM,Acquired,Mimetism,GZ393590_IND005,FALSE,AML - Adult,,Phase 3,10000880,Acute myeloid leukaemia,Stopped,Oncology,,
SP0285,Research,VACCINE,PCV Next Gen Adult,Streptococcus pneumomiae conjugate vaccine - Next Generation - Adult,Ongoing,M0-M2,Very High,Little / Uncertain differentiation,,,,,Active Immunization,,Biologics,GCV,Licensed,,SP0285_IND001,TRUE,Streptococcus pneumoniae disease - Adult,S. pneumoniae disease - Adult,M0-M2,10092606,Invasive pneumococcal disease,Ongoing,Vaccines,PMED_Pneumo Meningitis,0.25
LC81657,Research,PHARMA,CD98 x Synuclein mAb (LC81657),LC81657 - CD98 x Synuclein mAb,Ongoing,M0-M1,Regular Priority,BiC,,,,,CD98 x Synuclein mAb,CD98xSNCA,Biologics,ANT,Licensed,Neutralizing,LC81657_IND001,TRUE,Parkinson's Disease,Parkinson,,10061536,Parkinson's disease,Ongoing,Neurology,Neurodegenerative diseases,
LC81425,Research,PHARMA,TL1A x OX40L mAb (LC81425),LC81425 - TL1A x OX40L mAb,Ongoing,M0-M1,Regular Priority,FiC,,,,,TL1A x OX40L mAb,TL1AxOX40L,Biologics,ANT,Internal,Antagonism,LC81425_IND001,TRUE,Inflammatory Bowel Disease,IBD,,10021972,Inflammatory bowel disease,Ongoing,Immuno-inflammation,Gastroenterology,
SP0230,Development,VACCINE,MenPenta,Neisseria meninigitidis (ACWY+B) combination vaccine,Ongoing,Phase 2,Very High,BiC,,,,,Active immunization,,Biologics,VAC,Internal,,SP0230_IND004,TRUE,Meningococcal (ACWY+B) disease - Adolescent & Pediatric,Meningococcal (ACWY+B) disease - Ado & Ped,Phase 2A,10004049,Bacterial meningitis,Ongoing,Vaccines,PMED_Pneumo Meningitis,0.31
LC81653,Research,PHARMA,aC1s x Factor Bb x VEGF AAV (LC81653),LC81653 - aC1s x Factor Bb x VEGF AAV,Ongoing,M0-M1,Regular Priority,FiC,,,,,aC1s x Factor Bb x VEGF AAV,aC1s x Bb x VEGF AAV,Biologics,AAV GT,Internal,Inhibition,LC81653_IND001,TRUE,Age-related macular degeneration - Geographic Atrophy,AMD - Geo atrophy,,10063947,Geographic atrophy,Ongoing,Ophthalmology,Neurodegenerative diseases,
SAR153191,Development,PHARMA,Kevzara,SAR153191 - IL6R mAb,Ongoing,LCM,Standard,Little / Uncertain differentiation,,,sarilumab,Kevzara,IL6R mAb,IL6R,Biologics,ANT,Licensed,Inhibition,SAR153191_IND007,FALSE,Rheumatoid Arthritis - Japan,,LCM,10039073,Rheumatoid arthritis,Completed,Immuno-inflammation,,1
SAR444671,Development,PHARMA,Wayrilz,SAR444671 - BTK sm,Ongoing,LCM,Medium,FiC,,,rilzabrutinib,Wayrilz,BTK sm,BTK,Synthetic,SM,Acquired,Inhibition,SAR444671_IND006,FALSE,Chronic Spontaneous Urticaria - Adult & Ped - 12-17 years,CSU - Adult & Ped 12-17y,Phase 2,10072757,Chronic spontaneous urticaria,Ongoing,Immuno-inflammation,Dermatology,0.42
LC81095,Research,PHARMA,TNFa sm - Backup (LC81095),LC81095 - TNFa sm - Backup,Ongoing,M1-M2,Regular Priority,BiC,SAR441566,SAR441566,,,TNFa sm - Backup,TNFa sm BU,Synthetic,SM,Internal,Inhibition,LC81095_IND007,,Hidradenitis Suppurativa,HS,,10020041,Hidradenitis suppurativa,Ongoing,,,
AVE0010,Development,PHARMA,Lyxumia/Adlyxin,AVE0010 - GLP1R peptide,Completed,LCM,Standard,LCM project,,,lixisenatide,Lyxumia/Adlyxin,GLP1R peptide,GLP1R,Synthetic,PEP,Licensed,Agonism,AVE0010_IND014,FALSE,Lixisenatide - T2DM - ToujeLyx Combo - SC Route,,,10067585,Type 2 diabetes mellitus,Stopped,DCVM,,
LC81376,Research,PHARMA,PD1 x OX40L Hybrid (LC81376),LC81376 - PD1 x OX40L Hybrid,Ongoing,M1-M2,High Priority,FiC,SAR449397,SAR449397,,,PD1 x OX40L Hybrid,PD1xOX40L,Biologics,HYB,Internal,Immune modulation,LC81376_IND003,,Crohn's disease,Crohn,,10011401,Crohn's disease,Ongoing,,,
LC81685,Research,PHARMA,TSLP x OX40L Nanobody VHH (LC81685),LC81685 - TSLP x OX40L Nanobody VHH,Ongoing,M1-M2,Regular Priority,FiC,SAR449468,SAR449468,,,TSLP x OX40L Nanobody VHH,TSLPxOX40L,Biologics,NBDY,Internal,Antagonism,LC81685_IND002,,Bronchiectasis,Bronchiectasis,,10006445,Bronchiectasis,Ongoing,,,
LC81222,Research,PHARMA,CTPS1 sm (LC81222),LC81222 - CTPS1 sm,Ongoing,M1-M2,Regular Priority,BiC,SAR448447,SAR448447,,,CTPS1 sm,CTPS1,Synthetic,SM,Internal,Inhibition,LC81222_IND005,,Psoriasis Arthritis,PsA,,10037162,Psoriatic arthropathy,Ongoing,,,
LC81311,Research,PHARMA,ITK x TXK sm (LC81311),LC81311 - ITK x TXK sm,Ongoing,M1-M2,Regular Priority,FiC,SAR449598,SAR449598,,,ITK x TXK sm,ITK x TXK,Synthetic,SM,Internal,Inhibition,LC81311_IND001,TRUE,Atopic Dermatitis,AD,,10012438,Dermatitis atopic,Ongoing,Immuno-inflammation,Dermatology,
LC81694,Research,PHARMA,CD19 x BCMA x Dectin1 Hybrid (MCE) (LC81694),LC81694 - CD19 x BCMA x Dectin1 Hybrid (MCE),Ongoing,M0-M1,Regular Priority,BiC,,,,,CD19 x BCMA x Dectin1 Hybrid (MCE),CD19xBCMAxDectin1 MCE,Biologics,HYB,Licensed,Cytotoxicity,LC81694_IND002,,Lupus Nephritis,LN,,10025140,Lupus nephritis,Ongoing,,,
SAR445761,Development,PHARMA,Rezurock ,SAR445761 - ROCK2 sm,Ongoing,LCM,Standard,FiC,,,belumosudil,Rezurock ,ROCK2 sm,ROCK2,Synthetic,SM,Acquired,Inhibition,SAR445761_IND007,FALSE,2L+ Chronic Graft versus Host Disease - Combo SYK/JAK Inhibitor,2L+ cGVHD - Combo,Initiation,10018651,Graft versus host disease,Stopped,Transplant,Transplant (Hemato),0.29
LC81684,Research,PHARMA,TSLP x IL5 Hybrid (LC81684),LC81684 - TSLP x IL5 Hybrid,Ongoing,M0-M1,Regular Priority,FiC,,,,,TSLP x IL5 Hybrid,TSLPxIL5,Biologics,HYB,Internal,Antagonism,LC81684_IND003,,Chronic Obstructive Pulmonary Disease,COPD,,10009033,Chronic obstructive pulmonary disease,Ongoing,,,
XC01158,Research,PHARMA,STAT6 sm - Degrader (XC01158),XC01158 - STAT6 sm - Degrader,Completed,M1-M2,High Priority,FiC,SAR448272,SAR448272,,,STAT6 sm - Degrader,STAT6 Degrader,Synthetic,SM,Licensed,Degradation,XC01158_IND004,,Eosinophilic Esophagitis,EoE,,10064212,Eosinophilic oesophagitis,Ongoing,,,
LC81661,Research,PHARMA,IL1R3 x TL1A mAb (LC81661),LC81661 - IL1R3 x TL1A mAb,Ongoing,M0-M1,Regular Priority,FiC,,,,,IL1R3 x TL1A mAb,IL1R3xTL1A,Biologics,ANT,Internal,Antagonism,LC81661_IND003,,Hidradenitis Suppurativa,HS,,10020041,Hidradenitis suppurativa,Ongoing,,,
LC81306,Research,PHARMA,CXCR4 mAb (LC81306),LC81306 - CXCR4 mAb,Completed,M1-M2,Regular Priority,BiC,SAR445346,SAR445346,,,CXCR4 mAb,CXCR4,Biologics,ANT,Acquired,Inhibition,LC81306_IND001,TRUE,Serie for Bio Oncology Disco,,,10065252,Solid tumor,Completed,Oncology,,
LC81644,Research,PHARMA,OX40L x NKG2D Nanobody VHH (LC81644),LC81644 - OX40L x NKG2D Nanobody VHH,Ongoing,M1-M2,Regular Priority,FiC,,,,,OX40L x NKG2D Nanobody VHH,OX40LxNKG2D,Biologics,NBDY,Internal,Blocking,LC81644_IND006,,Type 1 Diabetes,T1DM,,10067584,Type 1 diabetes mellitus,Ongoing,,,
LC81391,Research,PHARMA,STAT6 sm - SH2 - Premier and Additional Frontrunners (LC81391),LC81391 - STAT6 sm - SH2 - Premier and Additional Frontrunners,Ongoing,M1-M2,High Priority,FiC,SAR448755,SAR448755,,,STAT6 sm - SH2 - Premier and Additional Frontrunners,STAT6 - SH2 - Prem + Add FR,Synthetic,SM,Licensed,Inhibition,LC81391_IND003,,Chronic Obstructive Pulmonary Disease,COPD,,10009033,Chronic obstructive pulmonary disease,Completed,,,
