PROJECT_CODE,PROJECT_CATEGORY,PROJECT_ORGANIZATION,PROJECT_NAME,PROJECT_DESCRIPTION,PROJECT_STATUS,PROJECT_PHASE,PROJECT_PRIORITY,PROJECT_INNOVATION_STATUS,PROJECT_RESEARCH_DEVELOPMENT_LINK,PROJECT_SANOFI_THERAPEUTIC_AREA,ASSET_INN,ASSET_BRAND_NAME,ASSET_MECHANISM_OF_ACTION,ASSET_MOA_SHORT_NAME,ASSET_ACTIVE_SUBSTANCE_TYPE,ASSET_ACTIVE_SUBSTANCE_SUBTYPE,ASSET_ORIGIN_OF_ACTIVE_SUBSTANCE,ASSET_PHARMACOLOGICAL_EFFECT,INDICATION_UNIQUE_CODE,INDICATION_LEAD_FLAG,INDICATION_LONGNAME,INDICATION_SHORTNAME,INDICATION_PHASE,INDICATION_CODE_MEDDRA,INDICATION_NAME_MEDDRA,INDICATION_STATUS,INDICATION_SANOFI_THERAPEUTIC_AREA,INDICATION_SANOFI_SUB_THERAPEUTIC_AREA_FRANCHISE,INDICATION_PTRS
SAR650984,Development,PHARMA,Sarclisa,SAR650984 - CD38 mAb,Ongoing,LCM,Medium,BiC,,,isatuximab,Sarclisa,CD38 mAb,CD38,Biologics,ANT,Licensed,Binding,SAR650984_IND013,TRUE,NDMM/RRMM - SubQ,NDMM/RRMM – SubQ,Regulatory submission,10028228,Multiple myeloma,Ongoing,Oncology,Multiple Myeloma,0.9
LC81415,Research,PHARMA,EGFR x CD70 x CD16 mAb (LC81415),LC81415 - EGFR x CD70 x CD16 mAb,Ongoing,M0-M1,Regular Priority,FiC,,,,,EGFR x CD70 x CD16 mAb,EGFR x CD70 x CD16,Biologics,ANT,Internal,Cytotoxicity,LC81415_IND001,TRUE,EGFR-mutated NSCLC,EGFR-mutated NSCLC,,10061873,Non-small cell lung cancer,Ongoing,Oncology,Lung Cancer,
SAR231893,Development,PHARMA,Dupixent,SAR231893 - IL4R mAb,Ongoing,LCM,High,FiC,,,dupilumab,Dupixent,IL4R mAb,IL4R,Biologics,ANT,Licensed,Inhibition,SAR231893_IND015,FALSE,Adjunct Therapy to Grass SCIT (moderate to severe Allergic Rhinitis),,Phase 2A,10039085,Rhinitis allergic,Stopped,Immuno-inflammation,,
HMR1726,Development,PHARMA,Aubagio,HMR1726 - DHO-DH sm,Completed,LCM,Standard,LCM project,,,teriflunomide,Aubagio,DHO-DH sm,DHO-DH,Synthetic,SM,Internal,Inhibition,HMR1726_IND006,FALSE,Multiple Sclerosis - Clinically Isolated Syndrome,,,10028245,Multiple sclerosis,Stopped,Neurology,,
LC81335,Research,PHARMA,EGFR XPAT (LC81335),LC81335 - EGFR XPAT,Completed,M1-M2,Regular Priority,BiC,SAR446368,SAR446368,,,EGFR XPAT,EGFR XPAT,Biologics,FUP,Acquired,T cell engager,LC81335_IND001,TRUE,Serie for Bio Onco Disco,,,10065252,Solid tumor,Completed,Oncology,,
LC81418,Research,PHARMA,DUX4 RNAi AAV (LC81418),LC81418 - DUX4 RNAi AAV,Completed,M1-M2,High Priority,FiC,SAR448710,SAR448710,,,DUX4 RNAi AAV,DUX4 RNAi AAV,Biologics,AAV GT,Internal,Knockdown,LC81418_IND001,TRUE,Facioscapulohumeral Muscular Dystrophy,FSHD,,10064087,Facioscapulohumeral muscular dystrophy,Completed,Rare Disease Research,Neuromuscular Diseases,
LC81680,Research,PHARMA,TSLP x TACI Hybrid (LC81680),LC81680 - TSLP x TACI Hybrid,Ongoing,M0-M1,Regular Priority,FiC,,,,,TSLP x TACI Hybrid,TSLPxTACI,Biologics,HYB,Internal,Modulation,LC81680_IND002,,Systemic Lupus Erythematosus,SLE,,10042945,Systemic lupus erythematosus,Ongoing,,,
SAR236553,Development,PHARMA,Praluent,SAR236553 - Anti-PCSK-9 mAb,Completed,LCM,Standard,LCM project,,,alirocumab,Praluent,Anti-PCSK-9 mAb,PCSK9,Biologics,ANT,Licensed,Binding,SAR236553_IND001,FALSE,LDL-C reduction - US+EU,LDL-C reduc - US&EU,LCM,10020603,Hypercholesterolaemia,Completed,DCVM,,1
LC81417,Research,PHARMA,CD19 in vivo CAR-T (CD8 targeted) (LC81417),LC81417 - CD19 in vivo CAR-T (CD8 targeted),Completed,M1-M2,High Priority,FiC,SAR447998,SAR447998,,,CD19 in vivo CAR-T (CD8 targeted),CD19 CAR-T (CD8 targeted),Biologics,NV GT,Internal,Cytotoxicity,LC81417_IND002,,Lupus Nephritis,LN,,10025140,Lupus nephritis,Completed,,,
HOE901,Development,PHARMA,Lantus/Toujeo,HOE901 - Insulin glargine,Completed,LCM,Standard,LCM project,,,,Lantus/Toujeo,Insulin glargine,Insulin glargine,Biologics,INS,Internal,Mimetism,HOE901_IND010,FALSE,Toujeo (Lantus XR) - T1DM/T2DM - U300 - Japan,,LCM,10012594,Diabetes,Completed,DCVM,,1
LC81420,Research,PHARMA,aC1s sm - AI-driven (LC81420),LC81420 - aC1s sm - AI-driven,Ongoing,M0-M1,Regular Priority,FiC,,,,,aC1s sm - AI-driven,aC1s AI-driven,Synthetic,SM,Internal,Inhibition,LC81420_IND002,,Amyotrophic Lateral Sclerosis,ALS,,10002026,Amyotrophic lateral sclerosis,Ongoing,,,
LC81701,Research,PHARMA,CD46 x NKG2DL in vivo CAR-T (CD8 targeted) (LC81701),LC81701 - CD46 x NKG2DL in vivo CAR-T (CD8 targeted),Ongoing,M0-M1,Regular Priority,FiC,,,,,CD46 x NKG2DL in vivo CAR-T (CD8 targeted),CD46xNKG2DL CAR-T (CD8 targeted),Biologics,NV GT,Internal,Cytotoxicity,LC81701_IND004,,Prostate Cancer,Prostate Cancer,,10060862,Prostate cancer,Ongoing,,,
SAR442970,Development,PHARMA,brivekimig,SAR442970 - TNFa x OX40L Nanobody VHH,Ongoing,Phase 2B,GATE,FiC,XC01135,XC01135,brivekimig,,TNFa x OX40L Nanobody VHH,TNFa xOX40L,Biologics,NBDY,Internal,Blocking,SAR442970_IND005,FALSE,Primary Focal Segmental Glomerular Sclerosis / Minimal Change Disease - Adult & Ped - 2yr+,PFSGS/MCD,Phase 2A,10067757,Focal segmental glomerulosclerosis,Ongoing,Rare Diseases,Rare Renal and Bone Disorders,0.18
LC81691,Research,PHARMA,IL12v fusion protein - ITA bispecific (LC81691),LC81691 - IL12v fusion protein - ITA bispecific,Ongoing,M0-M1,Regular Priority,FiC,,,,,IL12v fusion protein - ITA bispecific,IL12v xITA,Biologics,FUP,Internal,Immune stimulation,LC81691_IND002,,Colorectal Cancer,CRC,,10061451,Colorectal cancer,Ongoing,,,
XRP6976,Development,PHARMA,Taxotere,XRP6976 - Tubulin  inh.,Completed,LCM,Standard,LCM project,,,docetaxel,Taxotere,Tubulin  inh.,Tubulin,Synthetic,SM,Licensed,Inhibition,XRP6976_IND009,FALSE,One Vial - Japan,,LCM,10065252,Solid tumor,Completed,Oncology,,
LC81654,Research,PHARMA,CD98 x aC1s mAb (LC81654),LC81654 - CD98 x aC1s mAb,Ongoing,M1-M2,Regular Priority,FiC,,,,,CD98 x aC1s mAb,CD98x aC1s,Biologics,ANT,Internal,Inhibition,LC81654_IND003,,Huntington's Disease,Huntington,,10070668,Huntington's disease,Ongoing,,,
LC81424,Research,PHARMA,IL17A sm - Next Generation (LC81424),LC81424 - IL17A sm - Next Generation,Ongoing,M1-M2,High Priority,BiC,,,,,IL17A sm - Next Generation,IL17A Next Gen,Synthetic,SM,Internal,Antagonism,LC81424_IND004,,Ankylosing Spondylitis,AS,,10002556,Ankylosing spondylitis,Ongoing,,,
GZ402671,Development,PHARMA,venglustat,GZ402671 - GCS sm - 2nd generation,Ongoing,Phase 3,Standard,FiC,,,venglustat,,GCS sm - 2nd generation,GCS 2nd gen,Synthetic,SM,Acquired,Inhibition,GZ402671_IND006,FALSE,GM2 Gangliosidosis (Tay-Sachs and Sandhoff) - Adult & Ped - 2-17 years,GM2,Phase 3,10043147,Tay-Sachs disease,Stopped,Rare Diseases,Metabolic Disorders,
LC81372,Research,PHARMA,CD80 mAb (PDL1 disrupting) (LC81372),LC81372 - CD80 mAb (PDL1 disrupting),Ongoing,M1-M2,High Priority,FiC,,,,,CD80 mAb (PDL1 disrupting),CD80 (PDL1 disrupting),Biologics,ANT,Internal,Blocking,LC81372_IND004,,Systemic Lupus Erythematosus,SLE,,10042945,Systemic lupus erythematosus,Ongoing,,,
